Row,Column,WELL LABEL,Z,T,Nuclei Nuclei Count wv1,Nuclei Area wv1,Nuclei Form Factor wv1,Nuclei Elongation wv1,Nuclei Compactness wv1,Nuclei Chord Ratio wv1,Nuclei Gyration Radius wv1,Nuclei Displacement wv1,Nuclei Diameter wv1,Nuclei Perimeter wv1,Nuclei Intensity wv1,Nuclei Total Intensity wv1,Nuclei Intensity CV wv1,Nuclei Light Flux wv1,Nuclei Intensity SD wv1,Nuclei Max Intensity wv1,Nuclei cg X wv1,Nuclei cg Y wv1,Nuclei Major Axis wv1,Nuclei Minor Axis wv1,Nuclei Major Axis Angle wv1,Nuclei Spacing (SOI) wv1,Nuclei Neighbor Count (SOI) wv1,Nuclei Spacing (MIN) wv1,Nuclei Neighbor Count (MIN) wv1,Nuclei Spacing (Gabriel) wv1,Nuclei Neighbor Count (Gabriel) wv1,Nuclei Spacing (Lune) wv1,Nuclei Neighbor Count (Lune) wv1,Nuclei Skewness wv1,Nuclei Kurtosis wv1,Nuclei Energy wv1,Nuclei Entropy wv1,Nuclei Grey Level Non uniformity wv1,Nuclei High Grey Level Run Emphasis wv1,Nuclei Low Grey Level Run Emphasis wv1,Nuclei Run Length Non uniformity wv1,Cells Cell Count wv2,Cells Area wv2,Cells Form Factor wv2,Cells Elongation wv2,Cells Compactness wv2,Cells Chord Ratio wv2,Cells Gyration Radius wv2,Cells Nuc/Cell Area wv2,Cells Diameter wv2,Cells Perimeter wv2,Cells Intensity (Cell) wv2,Cells Intensity (Cyto) wv2,Cells Total Intensity (Cell) wv2,Cells Total Intensity (Cyto) wv2,Cells Intensity CV (Cell) wv2,Cells Intensity CV (Cyto) wv2,Cells Intensity Spreading wv2,Cells Light Flux wv2,Cells Nuc/Cyto Intensity wv2,Cells Intensity SD (Cell) wv2,Cells Intensity SD (Cyto) wv2,Cells Max Intensity wv2,Cells cg X wv2,Cells cg Y wv2,Cells Major Axis wv2,Cells Minor Axis wv2,Cells Major Axis Angle wv2,Cells Skewness wv2,Cells Kurtosis wv2,Cells Energy wv2,Cells Entropy wv2,Cells Grey Level Non uniformity wv2,Cells High Grey Level Run Emphasis wv2,Cells Low Grey Level Run Emphasis wv2,Cells Run Length Non uniformity wv2,Plate ID
G,6,G - 6,1,1,3950,193.79315569620255,0.8872050335653668,0.8404607222995699,1.0702737405802238,0.7215293195102684,5.650520312893978,0.9532084354628797,18.034913887158854,51.768108032003454,4592.720261970983,925646.1454993672,0.3072430251593158,2149.624602970391,1493.0995108895117,36440.0,678.8715634627337,669.2437696672064,8.6716946743772,7.203196237147609,44.50590103268189,33.417602428215005,4.022278481012658,24.18909476743102,1.3873417721518988,38.91241335099733,4.027341772151899,32.02666860150099,2.527594936708861,-0.12743986457974962,-1.0453024219830682,2.760354168709821,5.979354107755578,71.50710676024232,26.25957247299484,0.06810981390785567,365.50227848101264,3950,718.6153822784811,0.655536458047529,0.7514333278935864,1.298452902387352,0.5502406233782119,11.96826873758704,0.29245042325414533,41.68643701288105,118.141608273233,6771.677215995609,5121.877619583665,4692752.478922153,2557742.5605031652,0.5424320988322971,0.5122940371282728,0.7669228544791622,1045.0069659761089,2.2406182318369967,3556.762485458092,2451.8526542964373,55235.0,678.7061223946324,669.2024405432285,19.293232422068147,13.875901563861703,46.42769489190134,0.3708278248656584,-0.6101750055969194,0.8120163806979579,7.234741805380853,126.88188981406296,69.61267242721364,0.07796089839956523,1432.333164556962,Plate 100 231
G,7,G - 7,1,1,2095,265.91323150358,0.8686287766819445,0.8468540501231914,1.061822992444608,0.7351932528443884,6.62391040950582,1.2023275317745417,21.143767866138017,61.48580098879217,2825.357258240472,766176.2641062053,0.33632501935517933,2612.170475749147,972.7053885998278,14108.0,659.4472343919513,653.9940622552523,10.13330821934065,8.489279388038527,42.268174040460046,43.94756115326617,3.8348448687350833,32.31994470872316,1.416706443914081,52.39194435054727,3.8921241050119333,43.528437261256464,2.4916467780429596,-0.04803274202064319,-1.1137045386704272,2.2064780289278523,6.2229854420708435,88.49974897562177,11.43110568711183,0.15150213874698681,316.95942720763725,2095,1175.0249343675418,0.5649313375821224,0.7126751735476987,1.4380539332573927,0.47295906298180773,16.138735910872708,0.2547847909172066,57.29205961298115,164.9365802150876,7816.709650170717,6200.242637685043,8721477.938467782,5303382.817584726,0.5218308164556305,0.4587179026110468,0.7876048772444276,1378.962419085515,2.1660953995702257,3910.0393573781575,2673.824346551168,46598.0,658.8339222984868,654.216647182217,26.482163077254288,17.979629236576383,45.41104710038953,0.5790909294284841,0.0161302747579754,0.536572003313012,7.676456051484314,170.78289088064844,93.51885198579483,0.05616655076358263,2188.8945107398567,Plate 100 231
G,8,G - 8,1,1,1884,281.24035429936305,0.8605414631799032,0.8428309627188532,1.066879331649855,0.726717376864228,6.8362165112540865,1.1645003976461785,21.95749770452391,63.60908381640315,2805.911987788191,807028.4256183652,0.35429835662399306,2762.9184549238307,1021.7811370380476,28360.0,686.2589522543994,665.2494480488263,10.487602661420333,8.718856860270167,46.325347662372806,46.754181932745006,3.878980891719745,34.16257950992085,1.4012738853503184,55.310321321363205,3.9278131634819533,45.777568107735476,2.468152866242038,0.021611374059248335,-1.1383425202651376,2.0911869332436637,6.275488013102935,90.59966743878245,11.87825826550745,0.15160922918591307,332.15658174097666,1884,1210.0200411358812,0.5669901280123233,0.7063071191176125,1.447005924215624,0.4662698266752305,16.431304631438326,0.259495970306926,58.46702569459168,167.1474542933607,6961.592237228796,5440.734293981511,8027293.407143047,4799974.93914809,0.5331070286991889,0.47308204786860164,0.7807726892537291,1485.2210613290374,2.2014962319369924,3589.3035450406746,2425.6166210841093,65535.0,685.655171626962,665.4515245075671,27.053204525934408,18.13968445591613,44.48167347324961,0.5714367401328919,-0.055157971920670436,0.5273834132520968,7.690233886409725,181.60495216223845,76.22449385271963,0.06884194582066995,2121.5801486199575,Plate 100 231
G,9,G - 9,1,1,2219,273.0823704371339,0.8611186837074153,0.840988649781373,1.0687681016515898,0.7245923732657873,6.740656885355074,1.084801205084342,21.64602100984279,62.66538895477722,3035.23813824809,848229.2805982424,0.33817805187031347,2630.685784701347,1050.8026947722674,22139.0,658.8869983238679,644.7344533449028,10.34551580139193,8.593022797117367,45.160315356765366,43.510723570978996,3.993690851735016,31.674830613807583,1.3997296079315007,50.94484950644085,3.9450202794051377,41.96678301501819,2.495718792248761,-0.04738459488162196,-1.1312670778090592,2.1275626711077047,6.261361732666507,89.62369218803086,12.967987478826968,0.13299767327347603,342.94862550698514,2219,1108.377246507436,0.5837562358159306,0.717517787379274,1.4098555564012156,0.48448052432198246,15.505317996903578,0.2775469745331456,55.263414521382884,157.06008040189099,7418.978840362089,5917.756481722519,7743208.530345878,4577667.6727929255,0.5005835266567076,0.4577697060994329,0.7890351192062703,1362.236436591413,2.0770087011320904,3514.909552713786,2520.1623508250646,41387.0,658.3263430223175,645.0128514032778,25.41018293781719,17.326052148388335,44.503651865765384,0.3940768398710628,-0.28169099164766415,0.5700323607925242,7.6131931281182625,161.82320795751144,79.93302853357797,0.06453717612305093,1915.5295178008112,Plate 100 231
G,10,G - 10,1,1,2027,265.3816921558954,0.8666125850677954,0.8361508095665071,1.0712340816996477,0.7183274132230856,6.6570706713475865,1.098256057116763,21.420892955593203,61.625208715719886,3162.639548845475,860372.9463899852,0.35470744463636195,2806.919120280188,1163.1451333143584,25587.0,658.5946259363398,654.0279688969605,10.248320965526961,8.444631492038873,45.016445733796154,44.812776293343475,3.7927972372964973,32.60978792057865,1.3971386285150469,53.31042343435789,3.8687715836211147,44.09782692962673,2.4864331524420327,-0.014662815963110701,-1.1225188725831712,2.1319887472113423,6.249161991037712,87.32780478467598,14.130233676079524,0.12757792338714202,358.05180069067586,2027,1126.1336260483474,0.5798778743920883,0.70234758454729,1.4407786824139464,0.4670086929205334,15.800369064609535,0.26659997595951046,56.380149385671906,159.0928866651821,6710.882127378722,5149.192764954826,7162062.75558831,4174049.6175789344,0.5527873898235678,0.4984619193513219,0.770228640633862,1462.871339419362,2.2815394665730038,3588.7597855601125,2410.869382652754,54966.0,657.9781314162891,654.3013166400605,26.089473918393498,17.294842087099223,45.403790005297324,0.535867091444535,-0.16397106061514327,0.5763281984565202,7.614705913690969,164.86697486403193,72.85561282851158,0.08168048307218749,1917.8771583621115,Plate 100 231
G,11,G - 11,1,1,1860,291.0236787634409,0.8473463238408686,0.8252791159662287,1.0863941982736665,0.6961255456023302,7.016965702695414,0.9634083525818293,22.88851263366396,65.28313126941111,3120.3833449843955,930207.152560484,0.3834422505474889,2992.419620141031,1221.6177940397772,21440.0,663.1679965710034,650.6587589175904,10.860609703051148,8.817544951720905,43.80158591137584,46.422436113073246,3.8548387096774195,33.94035547829816,1.4,54.68915516499939,3.8537634408602153,45.28310229459616,2.4612903225806453,0.10006599063463861,-1.1740360804381829,1.979982611729149,6.332644048287929,89.0462018607765,14.47225071153333,0.12639281414248932,374.7263440860215,1860,1087.2258373655914,0.6021541831682989,0.7110037682722635,1.4230672086662566,0.4700761879966584,15.44889549368685,0.2954228555483236,55.31354568164792,152.86405554643,6211.893617613221,4482.845621821155,6419285.963353495,3362080.295795699,0.5972099106031954,0.5327646289503449,0.7476105047027255,1754.8908291015714,2.502114143194467,3567.959596413617,2213.460320742986,45717.0,662.6127977599234,650.6897140716352,25.393321044880857,17.113796692458532,48.26499558298094,0.600910974698935,-0.2382678603241943,0.5825565255300543,7.5835431387185555,155.31030577382734,66.69123315452248,0.09435626127186321,1770.3596774193547,Plate 100 231
G,12,G - 12,1,1,1631,311.6980150214593,0.8409120368072837,0.8273186515780102,1.0913277551621994,0.7000888331347108,7.214368191140155,0.9506896250653364,23.41355281644991,67.26846449535091,2799.1271623859247,909542.98583691,0.39255401634251696,2873.872485498554,1134.7462415453404,31046.0,684.0465914643502,691.7836886529082,11.145944007037974,9.09096094911483,44.63504804880795,47.34937322697139,3.781729000613121,34.73321961280976,1.3991416309012876,56.90229314869859,3.747394236664623,47.15183652539894,2.43408951563458,0.18858409841091514,-1.1814028080091001,2.1480055808156413,6.338567500727204,90.64799266677193,12.364418807386402,0.19726200822277132,370.79767014101776,1631,1118.4880579399141,0.5742116936205547,0.7172519193542707,1.4164893836279648,0.4932576084391044,15.579519203357599,0.30750472370421345,55.442943126784094,160.01839700001662,4237.087291206388,3164.6233202386857,4547809.519448192,2440905.0356207853,0.5480948933715478,0.48423347239117026,0.7678884201163386,1682.2092570934656,2.2660441372940885,2226.744596935768,1431.6385362415451,27070.0,683.7957590672212,691.910846072323,25.571501105757008,17.326875632339867,42.77749769291631,0.6040646452020424,-0.03135191694085973,0.6636366556656308,7.495964192320326,180.5043704900034,30.438801968777423,0.14915033243368148,1363.3366033108523,Plate 100 231
H,1,H - 1,1,1,2340,234.37284722222228,0.8869580378645459,0.8548445379022728,1.0551845197471985,0.7543274005290918,6.177194876981342,0.9073541168605067,19.51549357981693,56.94089667153668,3747.4126113671564,908932.2325416668,0.31263651917009566,2508.314269257348,1221.0448813522737,23435.0,665.1323843162039,653.560133784418,9.409997959931692,7.968576040797764,45.821167547133236,38.03598454129581,3.7025641025641027,28.087073808036443,1.3974358974358974,47.602985795146665,3.818803418803419,38.79438895096471,2.447008547008547,-0.1856101835525973,-1.0681740935917048,2.3796969373106083,6.136765844117317,81.73220793080127,17.60626547784887,0.10539010393743714,366.4858974358974,2340,846.1142083333334,0.6603422260061672,0.7587885309908584,1.2746513554271337,0.5706781321828593,12.84500378464391,0.30432606663692147,44.53853354434131,127.67904349338959,5753.485120678285,4441.276185331214,4635431.477444445,2517541.658666667,0.522211923459437,0.5072713500736685,0.7656967289569621,1197.9615827673601,2.1290262277043044,2835.2909011395473,2088.123388934053,33936.0,664.9368537483628,653.7413402468788,20.636519974072776,14.99683157801628,46.10554974113944,0.22785651253794256,-0.6955919507856188,0.7453660985050745,7.346583507529771,141.94323347939385,48.40582004861954,0.11225051474259991,1349.5029914529914,Plate 100 231
H,2,H - 2,1,1,2938,215.32515486725666,0.891765342088702,0.8532644527993976,1.0574183338908048,0.7464265737259524,5.928204361551657,0.9691354095289205,18.734069110159087,54.444902788889564,3841.5269940666903,859849.784380531,0.29494549930213954,2342.901297505316,1182.9715043120882,29555.0,677.3948200813088,664.1513721120853,9.03338413059184,7.6442868330837355,43.29358340721454,36.78564888442116,3.92716133424098,26.755046416817482,1.4057181756296802,43.59020847425662,3.914908100748809,36.144466978571,2.5051055139550713,-0.22159102421862786,-1.0347939514461146,2.5529277511073607,6.0626065086207035,78.28075668875096,17.897840346829106,0.10157143091465935,348.21238938053096,2938,817.7864269911504,0.643666935522273,0.7519808448844667,1.3005350128820716,0.5550744011617318,12.777683287999727,0.28633351822871217,44.39094061729783,127.70636269725286,7224.078308011647,5638.3121370657045,5686071.371615046,3206090.84925885,0.5218498886942357,0.4994068737560615,0.7736848808744301,1092.9586123623558,2.1194895703834535,3597.6448492522727,2633.3319519213314,65535.0,677.2463758879531,664.1257287280945,20.585311480328045,14.85358510587068,43.92919313089149,0.3051297816577016,-0.6023068267022413,0.7192736495150982,7.357374959856092,136.5155301415409,75.06650917216821,0.0760528606312239,1618.1603131381892,Plate 100 231
H,3,H - 3,1,1,3059,210.42599378881988,0.891317216484972,0.8501128186453962,1.0597832074756628,0.7428573472601692,5.87444306871139,0.9701928931504283,18.577125273793055,53.9206092187927,3833.1729498295254,837084.6638746324,0.3019538183259438,2371.1681704103144,1215.0606784430054,30128.0,679.7712411761647,630.6994805499061,8.967176203550018,7.555676089107854,45.28295116690981,35.094636601391294,3.8868911408957176,25.752387521682095,1.3958810068649885,42.31719519174083,3.924812030075188,34.47330341647281,2.4707420725727363,-0.21339047985346038,-1.0421463439663896,2.5758588212047093,6.048009514100437,76.80413880960815,17.946867453034855,0.10260131797622664,347.1641059169663,3059,797.27849378882,0.6476761033688029,0.7545894869080254,1.2930183150226715,0.5580703064260317,12.580439560527521,0.28692299352561423,43.640156236248835,125.48772332140517,7006.674224120638,5445.378173191544,5359501.733546912,3007433.606684374,0.5253011305282803,0.5088496631450006,0.7719084671337557,1070.4097132674844,2.1250865467125375,3526.477890328546,2597.5785597917757,50699.0,679.4554816729474,630.862560310505,20.227690113179236,14.678867217924674,44.798567842344944,0.2793347835459594,-0.6306163338151699,0.732725725929513,7.335242883150142,135.3995523536934,70.61783389914227,0.08181012051235416,1560.9620791108205,Plate 100 231
